Textbox9,Textbox12,Textbox14
03/11/2025,01/01/2024,12/31/2024

SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
1741,Fayette,Lexington,Chipotle Mexican Grill,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",345 S Limestone,"Lexington, KY 40508",034-NQ4-1262,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,08/31/2025
10363,Fayette,Lexington,Chipotle Mexican Grill,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",2905 Richmond Rd,"Lexington, KY 40508",034-NQ4-1260,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,08/31/2025
10899,Fayette,Lexington,Chipotle Mexican Grill,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",1869 Plaudit Place,"Lexington, KY 40509",034-NQ4-1261,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,08/31/2025
34506,Fayette,Lexington,Chipotle Mexican Grill,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",3900 Fountainblue Ln Ste 130,"Lexington, KY 40513",034-NQ4-203230,NQ4 Retail Malt Beverage Drink License,Active,05/10/2024,05/10/2024,08/31/2025
35783,Fayette,Lexington,Chipotle Mexican Grill,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",1584 Leestown Rd,"Lexington, KY 40511",034-NQ4-196834,NQ4 Retail Malt Beverage Drink License,Active,05/12/2023,05/12/2023,08/31/2025
23387,Fayette,Lexington,Chipotle Mexican Grill #2429,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",3565 Nicholasville Rd Ste 935,"Lexington, KY 40503",034-NQ2-3025,NQ2 Retail Drink License,Active,05/20/2016,05/20/2016,08/31/2025
5615,Fayette,Lexington,Chuy's,"CHUY'S OPCO, INC.",1856 Alysheba Way,"Lexington, KY 40509",034-NQ2-3926,NQ2 Retail Drink License,Active,04/19/2019,04/19/2019,08/31/2025
12089,Fayette,Lexington,Chuy's,"CHUY'S OPCO, INC.",3841 Nicholasville Centre Dr,"Lexington, KY 40503",034-NQ2-1870,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,08/31/2025
24887,Fayette,Lexington,Cibon,CIBON LLC,211 Rosemont Gdn,"Lexington, KY 40503",034-NQ4-202891,NQ4 Retail Malt Beverage Drink License,Active,04/25/2024,04/25/2024,11/30/2025
21781,Fayette,Lexington,Cinco de mayo of Lexington 2 Inc,CINCO DE MAYO OF LEXINGTON 2 INC,3031 Richmond Rd Ste 120,"Lexington, KY 40509",034-NQ2-3218,NQ2 Retail Drink License,Active,12/16/2016,12/16/2016,11/30/2025
20308,Fayette,Lexington,Cinco de Mayo of Lexington Inc,"CINCO DE MAYO OF LEXINGTON, INC.",122 W Maxwell St,"Lexington, KY 40508",034-NQ2-2446,NQ2 Retail Drink License,Active,04/16/2014,04/16/2014,11/30/2025
37517,Fayette,Lexington,"Cinco De Mayo Tates Creek, LLC","Cinco De Mayo Tates Creek, LLC",4053 Tates Creek Centre Dr,"Lexington, KY 40517",034-NQ2-200936,NQ2 Retail Drink License,Active,01/04/2024,01/04/2024,11/30/2025
26854,Fayette,Lexington,Cinemark Fayette Mall and XD,"CINEMARK USA, INC.",3800 Mall Rd,"Lexington, KY 40503",034-NQ4-4278,NQ4 Retail Malt Beverage Drink License,Active,12/10/2018,12/10/2018,08/31/2025
17399,Fayette,Lexington,City Barbeque,"CITY BARBEQUE, LLC",3292 Richmond Rd,"Lexington, KY 40509",034-NQ4-3933,NQ4 Retail Malt Beverage Drink License,Active,08/11/2017,08/11/2017,08/31/2025
21481,Fayette,Lexington,City Barbeque,"CITY BARBEQUE, LLC",2187 Harrodsburg Rd,"Lexington, KY 40504",034-NQ4-3924,NQ4 Retail Malt Beverage Drink License,Active,08/11/2017,08/11/2017,08/31/2025
9687,Fayette,Lexington,Clamatos,"CLAMATOS, LLC",2304 Versailles Rd,"Lexington, KY 40504",034-NQ2-1572,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,11/30/2025
6100,Fayette,Lexington,Clarion Hotel,JSK Investments LLC,1950 Newtown Pike,"Lexington, KY 40511",034-NQ1-1095,NQ1 Retail Drink License,Active,12/03/2015,12/03/2015,11/30/2025
6532,Fayette,Lexington,Clubhouse,"Clubhouse, LLC",385 S Limestone,"Lexington, KY 40508",034-NQ4-186315,NQ4 Retail Malt Beverage Drink License,Active,09/22/2021,09/22/2021,11/30/2025
39275,Fayette,Lexington,Cocktail University,Gredarius LLC,206 W Main St Ste 200,"Lexington, KY 40507",034-NQ4-206632,NQ4 Retail Malt Beverage Drink License,Active,12/09/2024,12/09/2024,11/30/2025
9947,Fayette,Lexington,Cocktails of Lexington,"COCKTAILS OF LEXINGTON, INC.",3090 Todds Rd Ste 405,"Lexington, KY 40509",034-NQ4-2079,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,11/30/2025
21718,Fayette,Lexington,Cocktails Too,"Cocktails of Lexington II, LLC",130 W Tiverton Way Ste 195,"Lexington, KY 40503",034-NQ4-4074,NQ4 Retail Malt Beverage Drink License,Active,04/05/2018,04/05/2018,11/30/2025
24267,Fayette,Lexington,Coffee Shop and Bar,"LUSSIBROWN, LLC",114 Church St,"Lexington, KY 40507",034-NQ4-3759,NQ4 Retail Malt Beverage Drink License,Active,06/27/2017,06/27/2017,11/30/2025
5214,Fayette,Lexington,Coles,"TGE Hospitality, Inc.",735 E Main St,"Lexington, KY 40502",034-NQ2-1914,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,11/30/2025
4566,Fayette,Lexington,Columbia Steak House,"PENN BROTHERS ENTERPRISES, INC.",201 - 207 N Limestone,"Lexington, KY 40507",034-NQ2-1534,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,11/30/2025
5472,Fayette,Lexington,Columbia Steakhouse Grille,"PENN BROTHERS ENTERPRISES, INC.",2750 Richmond Rd,"Lexington, KY 40509",034-NQ2-1535,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,11/30/2025
4830,Fayette,Lexington,Comedy Off Broadway,"COMEDY OFF BROADWAY, INC.",101 Lexington Green Cir,"Lexington, KY 40503",034-NQ4-1852,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,11/30/2025
24824,Fayette,Lexington,Condado Tacos,CONDADO TACOS 34 LLC,114 Summit At Fritz Farm Ste 110,"Lexington, KY 40517",034-NQ2-185924,NQ2 Retail Drink License,Active,08/31/2021,08/31/2021,11/30/2025
